Mes,Total,Mensal,Semestral,Anual
6/12,98,98,0,0
7/12,175,175,0,0
8/12,147,147,0,0
9/12,140,140,0,0
10/12,384,184,0,200
11/12,510,110,0,400
12/12,300,100,0,200
1/13,330,130,0,200
2/13,340,140,0,200
3/13,280,80,0,200
4/13,570,270,0,300
5/13,600,200,0,400
6/13,490,190,0,300
7/13,2629,629,0,2000
8/13,4219,819,0,3400
9/13,4318,1319,0,3000
10/13,5238,1139,0,4100
11/13,6838,1439,0,5399
12/13,7018,1229,0,5789
1/14,6948,1578,0,5369
2/14,8817,1938,180,6699
3/14,15347,1708,1740,11899
4/14,17076,2938,1119,13019
5/14,17352,2934,2178,12240
6/14,12601,1926,1485,9190
7/14,16756,2484,2832,11440
8/14,18043,2826,2277,12940
9/14,16352,2538,1089,12725
10/14,13340,2466,2079,8795
11/14,17100,2142,2178,12780
12/14,13548,2142,891,10515
1/15,20849,2682,792,17375
2/15,25605,3801,1602,20202
3/15,23864,3142,2013,18709
